"country_code","country","unit_code","unit","financing_code","financing_scheme","year","value"
"JPN","Japan","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,1.438
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,3.604
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,3.749
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,3.887
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,4.141
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,4.547
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,4.79
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,5.175
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,5.621
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,5.103
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,5.06
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,4.953
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2015,6.46
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2016,6.634
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2017,6.796
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2018,7.14
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2019,7.691
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2020,8.025
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2021,8.327
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2022,8.843
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2023,8.445
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2024,8.462
"KOR","Korea","PT_B1GQ","Percentage of GDP","_T","Total",2025,8.448
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2015,2.856
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2016,2.884
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2017,2.909
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2018,3
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2019,3.145
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2020,3.236
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2021,3.152
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2022,3.221
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2023,3.343
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2024,3.402
"KOR","Korea","PT_B1GQ","Percentage of GDP","HF2HF3","Voluntary schemes/household out-of-pocket payments",2025,3.495
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2015,2.885
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2016,2.761
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2017,2.684
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2018,2.6
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2019,2.607
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2020,3.202
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2021,2.951
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2022,2.962
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2023,2.906
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2024,3.174
"MEX","Mexico","PT_B1GQ","Percentage of GDP","HF1","Government/compulsory schemes",2025,3.22
